72,2,2,0,"AIF2","KHA","swe1a","SC001",,0,2.00000,,,,"20180315","20180706",0.01020,,,"ZH013",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
72,2,2,0,"WIF2","KHA","swe1w","SC001",,0,2.00000,,,,"20180315","20180706",0.01020,,,"ZH013",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
34,4,4,4,"I2","SBT","gti","ZH013",,56,4.00000,,,,"20180315","20180706",0.00680,,,"ZH013",,0,16777215,"aBfn",,,,2,2,,,,"3",0,56,,,,,400000,4.00000,,,,,,#n,#n
508,4,4,4,"I2","HAU","pgti","IF016",,75,4.00000,,,,"20180315","20180706",0.00680,"Gruppen I1/I2",,"ZH013","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,400000,4.00000,,,,,,#n,#n
40,2,2,2,"I1","HAU","gdi","SC001",,259,2.00000,,,,"20180315","20180706",0.01020,,,"ZH013",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
40,2,2,0,"WIF1","HAU","gdiw","SC001",,0,2.00000,,,,"20180315","20180706",0.01020,,,"ZH013",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
40,2,2,0,"AIF1","HAU","gdia","SC001",,0,2.00000,,,,"20180315","20180706",0.01020,,,"ZH013",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
475,4,4,4,"AIF1","KHA","ügif","TI107",,35,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe A2",,"ZH005","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
588,4,4,4,"AIF1","HAU","ügif","TI107",,35,2.00000,"1",,,"20180315","20180706",0.00340,"Gruppe A1",,"ZH005","14",0,16777215,"Bfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
477,4,4,4,"I1","HAU","ügif","TI107",,90,2.00000,"1",,,"20180315","20180706",0.00340,"Gruppe I1",,"IF016a","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
471,4,4,4,"I1","KHA","gif","ZH013",,90,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe I2",,"ZH013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
42,6,6,6,"I1","GBL","mat1","ZH013",,90,6.00000,,,,"20180315","20180706",0.01020,,,"ZH013",,0,16777215,"aBfn",,,,1,1,,,,"3",0,0,,,,,600000,6.00000,,,,,,#n,#n
41,2,2,2,"I1","Welter","dig","ZH013",,110,2.00000,,,,"20180315","20180706",0.00680,,,"ZH013",,0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
41,2,2,0,"AIF3","Welter","diga","ZH013",,0,2.00000,,,,"20180315","20180706",0.00680,,,"ZH013",,0,16777215,"aBfn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
43,6,6,6,"WIF1","HMN","mat1w","HS013",,134,6.00000,,,,"20180315","20180706",0.01020,,,"HS013",,0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,600000,6.00000,,,,,,#n,#n
44,4,4,4,"I1","MCK","prg1","ZH013",,125,4.00000,,,,"20180315","20180706",0.01360,,,"ZH013",,0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,400000,4.00000,,,,,,#n,#n
44,4,4,0,"AIF1","MCK","prga","ZH013",,0,4.00000,,,,"20180315","20180706",0.01360,,,"ZH013",,0,16777215,"aBfn",,,,,,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
45,4,4,4,"WIF1","NAZ","prg1w","HS013",,134,4.00000,,,,"20180315","20180706",0.00680,,,"HS013",,,,"aBn",,,,,,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
46,4,4,4,"WIF1","LET","pprg","IF016",,134,4.00000,,,,"20180315","20180706",0.00680,"Gruppen 1/2",,"HS013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,400000,4.00000,,,,,,#n,#n
47,4,4,4,"WIF1","LET","pprg","IF016",,134,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe 5 (gKW)",,"HS013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
48,4,4,4,"WIF1","LET","pprg","IF016",,134,4.00000,,,,"20180315","20180706",0.00680,"Gruppen 3/4",,"HS013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,400000,4.00000,,,,,,#n,#n
49,4,4,4,"AIF1","MCK","pprg","IF016",,35,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe 3 (gKW)",,"ZH005","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
394,4,4,4,"I1","HMN","pprg","IF016",,90,4.00000,,,,"20180315","20180706",0.00680,"Gruppen 1/2",,"ZH013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,400000,4.00000,,,,,,#n,#n
341,4,4,4,"I1","MCK","pprg","IF016",,90,2.00000,"1",,,"20180315","20180706",0.00340,"Gruppe 3",,"ZH013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
52,4,4,4,"I1","UHR","pprg","IF016",,90,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe 4",,"ZH013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
69,4,4,4,"AIF2","schneider","eme","A0.02",,25,4.00000,,,,"20180315","20180706",0.00680,,,"HS013",,,,"aBn",,,,1,1,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
